Date,Open,High,Low,Close,Adj Close,Volume
2016-03-14,152.259995,153.300003,151.649994,152.669998,133.446045,1218400
2016-03-15,151.800003,154.419998,151.800003,154.179993,134.765930,1398500
2016-03-16,153.699997,155.000000,152.630005,154.059998,134.661026,1485500
2016-03-17,153.820007,154.740005,153.589996,153.839996,134.468765,1583200
2016-03-18,154.580002,154.699997,152.770004,153.149994,133.865646,3611700
2016-03-21,152.820007,154.350006,152.470001,153.940002,134.556137,1367400
2016-03-22,153.210007,153.809998,152.000000,152.229996,133.061523,1943100
2016-03-23,152.179993,153.929993,151.639999,153.509995,134.180313,2127300
2016-03-24,153.240005,154.080002,150.850006,151.429993,132.362213,2506500
2016-03-28,151.800003,153.940002,151.779999,152.669998,133.446045,1767400
2016-03-29,152.770004,155.460007,152.520004,155.259995,135.709930,1655400
2016-03-30,155.910004,158.240005,155.649994,157.600006,137.755325,2642700
2016-03-31,157.960007,159.800003,157.520004,157.580002,137.737778,2692400
2016-04-01,157.869995,159.089996,157.000000,158.250000,138.323441,1531500
2016-04-04,158.679993,158.990005,156.460007,157.729996,137.868912,1458400
2016-04-05,157.889999,158.000000,155.720001,155.990005,136.348022,1855600
2016-04-06,155.809998,157.410004,155.220001,156.770004,137.029816,1572600
2016-04-07,154.419998,154.580002,151.479996,152.029999,132.886688,4050100
2016-04-08,152.979996,152.979996,150.919998,151.649994,132.554535,2008500
2016-04-11,151.339996,151.940002,148.970001,149.050003,130.281937,2279000
2016-04-12,149.600006,150.679993,148.509995,150.520004,131.566833,2268300
2016-04-13,151.570007,152.080002,150.589996,151.880005,132.755554,2078800
2016-04-14,152.589996,152.910004,151.139999,151.399994,132.335999,2420000
2016-04-15,151.960007,153.809998,151.839996,153.169998,133.883133,2675900
2016-04-18,152.779999,153.710007,152.270004,153.300003,133.996735,1335800
2016-04-19,153.779999,153.899994,152.490005,153.679993,134.328903,1579000
2016-04-20,153.720001,153.889999,152.600006,152.740005,133.507263,1308700
2016-04-21,152.490005,152.740005,150.690002,151.419998,132.353485,2097600
2016-04-22,151.050003,151.809998,149.360001,149.919998,131.042358,2233900
2016-04-25,149.979996,151.679993,149.470001,151.509995,132.432098,1249000
2016-04-26,152.080002,153.449997,151.669998,152.600006,133.384888,1552900
2016-04-27,152.240005,152.509995,150.600006,151.770004,133.051758,1492800
2016-04-28,152.009995,153.649994,151.139999,151.440002,132.762466,2198100
2016-04-29,150.009995,150.979996,147.460007,148.130005,129.860657,3588800
2016-05-02,148.759995,151.419998,147.750000,150.929993,132.315338,3361500
2016-05-03,150.080002,152.529999,149.600006,151.410004,132.736160,2201300
2016-05-04,150.119995,152.000000,149.440002,151.509995,132.823807,2111600
2016-05-05,148.979996,150.380005,146.369995,147.839996,129.606430,4869300
2016-05-06,147.059998,147.500000,144.740005,146.440002,128.379135,3692200
2016-05-09,146.830002,148.970001,146.509995,148.589996,130.263916,2843800
2016-05-10,149.380005,149.979996,148.750000,149.559998,131.114334,1943900
2016-05-11,148.389999,148.690002,146.580002,147.119995,128.975235,2812700
2016-05-12,147.320007,147.770004,146.320007,146.720001,128.624588,2860400
2016-05-13,146.330002,146.720001,144.300003,144.500000,126.678352,2993600
2016-05-16,144.500000,146.580002,143.399994,145.789993,127.809303,2615000
2016-05-17,145.500000,146.240005,143.220001,143.600006,125.889381,2928900
2016-05-18,140.179993,141.660004,138.570007,141.289993,123.864288,5717000
2016-05-19,142.449997,143.080002,141.419998,142.699997,125.100403,2830500
2016-05-20,142.729996,143.500000,142.020004,142.690002,125.091591,2088400
2016-05-23,142.839996,144.000000,141.910004,142.009995,124.495453,1828400
2016-05-24,142.570007,143.479996,142.380005,142.570007,124.986450,2813100
2016-05-25,142.619995,145.679993,142.509995,144.539993,126.713486,4156700
2016-05-26,149.009995,153.880005,147.699997,149.710007,131.245819,7679400
2016-05-27,150.240005,150.770004,148.110001,149.080002,130.693497,3349800
2016-05-31,149.570007,149.880005,147.630005,148.770004,130.421722,3738900
2016-06-01,150.500000,153.000000,150.320007,152.520004,133.709244,3487300
2016-06-02,150.050003,151.509995,148.550003,151.509995,132.823807,3957600
2016-06-03,150.300003,151.779999,150.270004,151.710007,132.999161,1964200
2016-06-06,151.830002,152.490005,151.710007,152.240005,133.463791,1961600
2016-06-07,152.080002,153.850006,151.899994,152.619995,133.796906,2113000
2016-06-08,152.679993,153.470001,152.050003,153.369995,134.454376,1528300
2016-06-09,153.000000,154.139999,152.919998,154.050003,135.050552,1812100
2016-06-10,153.000000,155.149994,152.940002,154.869995,135.769394,3266500
2016-06-13,154.759995,155.960007,154.570007,154.949997,135.839539,2576600
2016-06-14,154.550003,156.360001,153.570007,155.869995,136.646057,3274700
2016-06-15,155.699997,156.779999,154.660004,154.860001,135.760620,2228500
2016-06-16,154.860001,156.500000,154.110001,156.419998,137.128250,1937400
2016-06-17,157.029999,157.250000,155.759995,155.889999,136.663651,2858200
2016-06-20,157.380005,158.380005,156.449997,156.479996,137.180817,2090800
2016-06-21,157.070007,157.899994,156.660004,157.199997,137.812073,1909700
2016-06-22,157.610001,158.419998,157.160004,158.119995,138.618607,2094800
2016-06-23,158.600006,158.789993,156.339996,157.029999,137.663025,2912400
2016-06-24,153.160004,157.690002,153.100006,155.559998,136.374313,3996100
2016-06-27,154.240005,154.929993,152.550003,154.259995,135.234650,2790800
2016-06-28,154.660004,155.929993,153.710007,155.600006,136.409393,2156300
2016-06-29,156.440002,157.279999,155.889999,157.080002,137.706802,1942500
2016-06-30,156.960007,157.820007,155.500000,157.039993,137.671829,3091100
2016-07-01,157.190002,157.190002,155.399994,156.110001,136.856476,2317200
2016-07-05,156.080002,156.149994,154.699997,155.250000,136.102570,2807400
2016-07-06,155.199997,156.550003,154.669998,156.009995,136.768845,2133200
2016-07-07,158.330002,164.160004,158.000000,163.699997,143.510422,6497900
2016-07-08,164.839996,166.100006,164.490005,165.440002,145.035782,3932000
2016-07-11,165.059998,167.490005,165.059998,166.720001,146.157913,2634300
2016-07-12,166.490005,166.919998,165.820007,166.279999,145.772186,1642100
2016-07-13,167.000000,167.190002,166.020004,166.779999,146.210526,1479800
2016-07-14,167.149994,168.000000,166.279999,166.940002,146.350815,2150100
2016-07-15,167.440002,167.440002,165.600006,166.410004,145.886154,1962300
2016-07-18,166.559998,167.860001,165.919998,167.509995,146.850510,1993800
2016-07-19,167.500000,168.559998,167.389999,168.119995,147.385254,1487800
2016-07-20,168.250000,168.259995,166.949997,168.039993,147.315109,1336900
2016-07-21,167.429993,167.750000,166.300003,167.050003,146.447220,1384600
2016-07-22,167.679993,167.699997,166.960007,167.470001,146.815414,1335100
2016-07-25,167.169998,168.199997,166.399994,167.970001,147.253754,1732200
2016-07-26,167.600006,168.820007,166.699997,167.570007,146.903091,1593900
2016-07-27,167.160004,167.500000,165.750000,166.149994,145.658218,1440000
2016-07-28,166.259995,166.860001,165.800003,166.350006,145.833557,1866500
2016-07-29,166.639999,167.679993,166.380005,167.220001,146.596237,1359700
2016-08-01,167.149994,168.000000,166.899994,167.559998,146.894302,986800
2016-08-02,167.070007,167.539993,164.589996,166.500000,145.965042,2107300
2016-08-03,165.919998,166.330002,165.100006,166.119995,145.631927,1837100
2016-08-04,166.039993,167.740005,165.889999,166.550003,146.008881,1638300
2016-08-05,166.860001,168.330002,166.080002,167.699997,147.017029,1526500
2016-08-08,167.250000,167.550003,166.470001,167.399994,146.754044,1294400
2016-08-09,167.740005,168.600006,166.880005,167.860001,147.157333,1286700
2016-08-10,167.440002,168.500000,167.050003,168.289993,147.930862,1104300
2016-08-11,169.110001,169.589996,167.330002,167.880005,147.570480,1497800
2016-08-12,167.160004,169.410004,167.160004,169.039993,148.590103,1399100
2016-08-15,169.039993,169.270004,168.589996,168.729996,148.317627,918600
2016-08-16,167.880005,168.800003,167.880005,168.410004,148.036346,1023000
2016-08-17,167.449997,168.360001,166.919998,167.960007,147.640762,1382500
2016-08-18,168.419998,168.710007,167.199997,167.750000,147.456161,1353400
2016-08-19,167.210007,168.330002,167.100006,168.020004,147.693512,1764800
2016-08-22,168.339996,168.690002,167.619995,167.940002,147.623184,955000
2016-08-23,168.089996,168.449997,167.309998,167.360001,147.113342,1003700
2016-08-24,167.139999,167.880005,166.759995,167.570007,147.297958,1363800
2016-08-25,167.199997,167.410004,164.639999,164.860001,144.915756,1817700
2016-08-26,165.389999,165.649994,163.470001,163.929993,144.098312,2009900
2016-08-29,164.470001,164.839996,163.399994,163.979996,144.142273,1819200
2016-08-30,164.070007,164.279999,161.740005,161.960007,142.366669,2010700
2016-08-31,161.869995,162.570007,161.149994,162.089996,142.480896,1933200
2016-09-01,159.000000,159.000000,155.539993,156.210007,137.312241,6038500
2016-09-02,156.809998,159.279999,156.800003,157.979996,138.868134,2679000
2016-09-06,158.130005,158.149994,156.020004,158.059998,138.938446,2716900
2016-09-07,157.639999,157.869995,155.399994,155.639999,136.811249,2984100
2016-09-08,155.190002,155.490005,152.940002,153.470001,134.903732,2993100
2016-09-09,152.589996,152.789993,150.699997,150.699997,132.468826,2993900
2016-09-12,150.500000,151.990005,150.259995,151.690002,133.339066,2982400
2016-09-13,151.179993,151.580002,150.070007,150.740005,132.503983,2148600
2016-09-14,150.710007,152.250000,150.199997,150.690002,132.460022,2188900
2016-09-15,150.720001,152.970001,150.110001,152.669998,134.200500,2284300
2016-09-16,151.960007,152.660004,151.139999,152.350006,133.919220,2842000
2016-09-19,152.130005,153.029999,151.600006,151.789993,133.426941,1321300
2016-09-20,152.429993,152.710007,151.669998,152.169998,133.760986,1396700
2016-09-21,152.589996,152.899994,151.250000,152.699997,134.226883,1535100
2016-09-22,153.029999,154.279999,152.679993,153.149994,134.622452,2502200
2016-09-23,153.149994,153.770004,152.169998,152.529999,134.077438,2282100
2016-09-26,152.080002,152.279999,151.009995,151.190002,132.899582,1862200
2016-09-27,151.419998,151.770004,150.000000,150.449997,132.249084,2569000
2016-09-28,150.600006,150.669998,148.940002,149.410004,131.334869,2626300
2016-09-29,149.190002,149.690002,147.199997,147.490005,129.647186,4501300
2016-09-30,151.789993,154.850006,151.600006,152.509995,134.059860,7318100
2016-10-03,152.220001,152.250000,150.320007,151.009995,132.741333,3197100
2016-10-04,151.470001,151.619995,149.490005,150.479996,132.275482,2840500
2016-10-05,150.630005,150.919998,149.830002,149.979996,131.835922,2377700
2016-10-06,150.229996,150.639999,149.000000,149.470001,131.387619,2465500
2016-10-07,149.770004,150.190002,148.789993,149.990005,131.844711,2282100
2016-10-10,150.350006,150.850006,149.750000,150.279999,132.099609,1587700
2016-10-11,149.669998,151.139999,149.509995,151.009995,132.741333,2596800
2016-10-12,150.970001,151.490005,150.389999,150.460007,132.257843,1664500
2016-10-13,149.929993,151.339996,149.720001,150.220001,132.046875,1795300
2016-10-14,150.179993,151.000000,149.279999,150.149994,131.985352,1745000
2016-10-17,150.080002,150.199997,148.630005,148.699997,130.710785,1988400
2016-10-18,149.509995,149.619995,148.410004,149.110001,131.071167,1847800
2016-10-19,150.699997,151.320007,149.309998,149.449997,131.370041,1812000
2016-10-20,149.850006,150.779999,149.600006,150.039993,131.888657,2251200
2016-10-21,149.509995,150.289993,148.500000,148.970001,130.948120,2188000
2016-10-24,149.350006,152.320007,149.289993,152.119995,133.717041,2432800
2016-10-25,149.899994,151.970001,149.899994,150.990005,132.723785,2060600
2016-10-26,150.350006,151.410004,150.279999,150.979996,132.714966,2246100
2016-10-27,150.830002,151.460007,149.820007,150.860001,132.609512,1993500
2016-10-28,150.440002,150.860001,149.380005,149.759995,131.642548,1843900
2016-10-31,148.889999,149.350006,147.100006,147.869995,129.981201,3239400
2016-11-01,148.479996,148.630005,146.380005,146.660004,128.917603,2112000
2016-11-02,146.429993,147.339996,146.119995,146.270004,128.970505,2260500
2016-11-03,146.699997,146.699997,144.139999,144.449997,127.365738,2168200
2016-11-04,143.000000,145.000000,142.110001,142.240005,125.417107,2702100
2016-11-07,143.380005,143.660004,142.750000,143.539993,126.563332,3010100
2016-11-08,143.889999,146.630005,143.800003,146.089996,128.811768,3505200
2016-11-09,143.539993,147.389999,143.539993,146.789993,129.428970,3170200
2016-11-10,147.059998,150.000000,146.610001,146.699997,129.349670,3944200
2016-11-11,146.610001,149.619995,145.380005,149.360001,131.695023,3218000
2016-11-14,150.919998,152.139999,149.500000,152.000000,134.022797,3890800
2016-11-15,151.979996,152.000000,150.289993,151.149994,133.273315,2799900
2016-11-16,152.190002,152.550003,151.800003,152.139999,134.146255,2152300
2016-11-17,151.229996,151.399994,149.550003,151.199997,133.317413,2098700
2016-11-18,150.839996,151.199997,149.520004,150.360001,132.576813,2020500
2016-11-21,150.550003,151.289993,150.119995,151.169998,133.290970,1181200
2016-11-22,151.929993,153.050003,151.210007,152.669998,134.613525,1954200
2016-11-23,152.750000,153.339996,151.179993,151.600006,133.670120,2166900
2016-11-25,151.889999,153.419998,151.710007,151.880005,133.916977,886800
2016-11-28,151.050003,152.429993,151.009995,151.250000,133.361496,1733500
2016-11-29,151.619995,152.220001,151.330002,151.479996,133.564285,1496800
2016-11-30,151.130005,151.539993,150.070007,150.110001,132.356323,2750500
2016-12-01,150.110001,152.880005,150.110001,151.740005,133.793549,2305200
2016-12-02,151.990005,152.869995,151.429993,152.089996,134.102142,1829200
